title,description,author,date,link
‘Dorian Won’t Budge’: Bahamas Hammered by Slow-Moving Hurricane,The storm has remained stationary but was expected to turn toward the United States and arrive near Florida by late Tuesday.,Daniel Victor,2019-09-03T07:29:24Z,https://www.nytimes.com/2019/09/03/world/americas/hurricane-dorian-bahamas.html
Sources: Urgency in Zeke talks; RB flying back,ESPN's Chris Mortensen and Adam Schefter are reporting that Ezekiel Elliott and the Cowboys are acting with a sense of urgency to finalize a deal in the next 24 hours that would allow the star running back to practice Wednesday and play Week 1.,,2019-09-03T14:22:00Z,http://espn.go.com/nfl/story/_/id/27527411/urgency-zeke-talks-rb-flying-back
Schools take steps to protect students in light of shootings,A new article on Slate's website examines the architectural developments schools are putting in place in light of the threat of school shootings. The author of that article Henry Grabar joined CBSN AM to talk about what he found.,CBS News,2019-09-03T15:31:43Z,https://www.cbsnews.com/video/schools-take-steps-to-protect-students-in-light-of-shootings/
"Paying with a debit card is leaving money on the table, and 4 more reasons I only ever pay with credit","I never pay for things with a debit card because I prefer to use my credit card, where I'm always getting the equivalent of 2% back or more on my purchases. Credit cards also offer better protections, less liability in case of fraud, and more leverage with me…",Caroline Lupini,2019-09-03T17:44:43Z,https://www.businessinsider.com/reasons-why-i-always-pay-credit-never-debit-card
Limerick nursing home failed to investigate allegation of abuse,Health Information and Quality Authority inspected home after receiving information from third party,Shauna Bowers,2019-09-03T12:13:30Z,https://www.irishtimes.com/news/social-affairs/limerick-nursing-home-failed-to-investigate-allegation-of-abuse-1.4006351
US manufacturing sector shrinks for first time in three years,American manufacturing shrank for the first time in three years this summer.,"Anneken Tappe, CNN Business",2019-09-03T15:21:34Z,https://www.cnn.com/2019/09/03/economy/ism-manufacturing-drop/index.html
Venezuelan oil exports fall to lowest level in 2019 as U.S. sanctions bite: data,"Venezuela's oil exports fell in August to their lowest level in 2019, internal reports and Refinitiv Eikon data showed, hurt by a halt in purchases by the nation's second largest customer, China National Petroleum Corp (CNPC), following tougher U.S. sanctions.",Marianna Parraga,2019-09-03T15:49:25Z,https://in.reuters.com/article/venezuela-oil-exports-idINKCN1VO1YI
Your Tuesday Briefing,"Boat Fire, Brexit, Naomi Osaka: Here’s what you need to know.",Mike Ives,2019-09-03T09:48:29Z,https://www.nytimes.com/2019/09/03/briefing/boat-fire-brexit-naomi-osaka.html
Kristen Stewart says she was told not to hold hands with her girlfriend in public,Kristen Stewart is opening up about her relationships.,"Marianne Garvey, CNN",2019-09-03T13:40:35Z,https://www.cnn.com/2019/09/03/entertainment/kristen-stewart-trnd/index.html
Here's what Hurricane Dorian is expected to do as it crawls toward the US,"Hurricane Dorian is crawling toward the US. It is forecast to continue to lash Grand Bahama as the hurricane's outer bands move ashore in Florida.

Follow live updates here","Judson Jones and Brandon Miller, CNN Meteorologists",2019-09-03T12:00:49Z,http://us.cnn.com/2019/09/03/weather/major-hurricane-dorian-timeline-florida-georgia-south-carolina/index.html
U of Illinois student arrested after noose found in elevator,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",The Associated Press,2019-09-03T17:17:11Z,https://abcnews.go.com/US/wireStory/illinois-student-arrested-noose-found-elevator-65361782
Justice Sotomayor encourages kids to 'Just Ask' in new book,"Supreme Court Justice Sonia Sotomayor is out with a new book for children. It's about children growing up with different life challenges, including autism and blindness.",The Associated Press,2019-09-03T14:42:43Z,https://abcnews.go.com/Entertainment/wireStory/justice-sotomayor-encourages-kids-book-65357732
UK public must decide next steps if parliament votes against Johnson: PM's spokesman,"Prime Minister Boris Johnson is clear that should lawmakers decide to vote against his government on Tuesday, then the British public should decide who negotiates with the European Union in an election, his spokesman said.",Reuters Editorial,2019-09-03T16:27:26Z,https://www.reuters.com/article/us-britain-eu-public-idUSKCN1VO239
Ariana Grande says Forever 21 'stole' name in lawsuit,"The singer is asking for $10m in damages from the US retailer, accusing it of trademark infringement.",https://www.facebook.com/bbcnews,2019-09-03T18:11:18Z,https://www.bbc.co.uk/news/business-49572758
How to teach your kids to love reading,"A recent survey found that 20% of kids ages six to 17 did not read any books at all during the summer of 2018. That number has been growing – in 2016, it was 15%. A new book, “How to Raise a Reader,” is working to combat that, by showing the benefits of readi…",CBS News,2019-09-03T13:15:46Z,https://www.cbsnews.com/video/how-to-teach-your-kids-to-love-reading/
"Nintendo Direct Predictions: Next 'Smash Ultimate' DLC, 'Pokémon Sword and Shield' Starter Evolutions and More",Will Banjo-Kazooie release this month?,Phillip Martinez,2019-09-03T17:02:59Z,https://www.newsweek.com/nintendo-direct-predictions-banjo-smash-ultimate-release-date-dlc-pokemon-1457461
The Big Dream of a Small Life,"Tiny homes may be getting even tinier, but they aren’t disappearing. A new book by Brent Heavener offers an explanation.",Brent Heavener,2019-09-03T09:13:33Z,https://www.nytimes.com/slideshow/2019/09/03/realestate/the-big-dream-of-a-small-life.html
US construction spending rose a slight 0.1% in July,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",The Associated Press,2019-09-03T14:04:53Z,https://abcnews.go.com/Business/wireStory/us-construction-spending-rose-slight-01-july-65356888
"Italy's 5-Star votes in favor of PD coalition, opening way for government","Members of the anti-establishment 5-Star Movement backed a proposed coalition with the center-left Democratic Party (PD) on Tuesday, opening the way for a new government to take office in the coming days.",Reuters Editorial,2019-09-03T17:30:53Z,https://www.reuters.com/article/us-italy-politics-vote-idUSKCN1VO29X
